EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GripForce,Subject
-17,-3,-2,-2,-1,1,16,-14,0,1
9,-3,4,-2,-2,-1,-3,20,0,1
5,24,-4,-1,-1,-2,-3,10,0,1
0,-16,-5,-3,-3,-1,-1,-22,0,1
-14,14,3,1,0,0,0,-7,0,1
2,-12,0,-2,-2,0,6,-11,0,1
-8,2,-2,-2,-1,-2,1,-12,0,1
2,-10,-1,0,-2,-1,-12,13,0,1
-2,1,-3,0,-1,-4,-1,-3,0,1
-1,10,-2,0,-2,3,7,-17,0,1
20,-10,2,-1,-2,-2,-4,14,0,1
-19,-2,-2,-3,-3,-2,-5,-11,0,1
9,0,-3,-3,0,-1,-1,3,0,1
2,-11,-3,0,-1,-3,-8,3,0,1
-10,3,-1,-1,-4,-2,7,-20,0,1
12,-2,-3,-1,-1,0,-3,-17,0,1
-21,1,-2,0,-2,1,13,7,0,1
5,-4,-2,-2,1,-2,-18,-5,0,1
-15,3,-1,-2,-1,-3,-16,-1,0,1
20,4,-1,0,-1,-1,-1,6,0,1
-13,-2,-2,1,-1,-1,-4,-7,0,1
1,-1,-2,0,-3,0,5,-5,0,1
-3,-4,-2,-2,-2,-1,-6,-3,0,1
0,1,1,1,1,0,9,8,0,1
4,11,2,-4,-1,-2,-8,1,0,1
2,-17,0,-2,0,-2,9,2,0,1
-5,1,0,-1,-1,0,0,3,0,1
-2,-1,1,-1,-2,-2,-4,-1,0,1
17,-4,-2,-1,0,-1,2,8,0,1
-41,6,-1,1,-1,-1,0,-18,0,1
24,0,-3,1,-1,2,4,26,0,1
-9,-4,-1,0,-1,-2,-4,2,0,1
1,-2,-1,-2,-3,-2,-2,-10,0,1
9,-2,-1,0,-1,0,1,1,0,1
-2,-5,-3,-1,0,0,3,-10,0,1
-9,8,-3,-1,-2,-1,-5,-8,0,1
-4,-12,2,0,-1,-3,-6,3,0,1
2,6,0,-3,-1,0,3,-1,0,1
-11,-5,-4,-1,-1,-1,3,11,0,1
12,1,-1,0,0,-4,-4,-3,0,1
-23,-5,-1,-1,1,1,0,-13,0,1
5,-3,-3,-2,-3,-1,8,6,0,1
-2,-1,-2,-3,0,-1,-2,-11,0,1
-2,7,-1,-1,0,0,-1,-3,0,1
5,-1,0,-3,-1,-4,-15,2,0,1
0,-1,1,1,-1,-2,-9,-13,0,1
-7,8,-2,-1,-2,1,5,-2,0,1
-2,-16,0,-1,-1,2,4,1,0,1
2,-8,-1,0,-1,-1,-1,10,0,1
3,4,-2,-3,0,0,3,4,0,1
-11,-3,0,-3,-4,-5,-7,-50,0,1
0,11,-2,-1,-1,-1,-7,5,0,1
-4,-8,1,2,-1,1,9,-7,0,1
0,-1,-2,0,-2,-2,-1,8,0,1
-6,-3,-3,0,0,-3,-8,-7,0,1
-4,-3,-2,-1,-1,-1,2,-19,0,1
6,0,-2,-1,1,-1,1,31,0,1
2,21,-3,-1,0,-3,-3,-5,0,1
-4,-15,2,1,3,2,11,22,0,1
12,0,1,1,-2,-1,0,-7,0,1
-4,-2,-3,-2,-1,-3,-4,-8,0,1
0,-4,-2,0,0,1,1,1,0,1
2,3,-5,-1,-1,-1,-6,5,0,1
-5,-1,4,-1,-1,-1,0,6,0,1
1,0,-2,0,-1,-1,4,-6,0,1
2,-2,1,-1,-2,0,-3,4,0,1
-4,2,-3,-2,-4,-3,-2,-9,0,1
-5,-14,-3,-2,-1,-3,0,2,0,1
-3,-5,-2,-3,-2,-1,2,-6,0,1
0,-7,-4,-2,1,-3,-9,-2,0,1
4,-1,0,-1,1,3,6,-5,0,1
-4,8,-1,0,-1,-2,-1,3,0,1
-1,-2,-1,-1,-3,1,-2,0,0,1
3,-8,-2,-2,0,0,-3,5,0,1
5,5,2,0,1,-1,0,3,0,1
-4,5,-2,-2,-1,0,1,-2,0,1
2,-14,1,-1,-2,-1,-1,11,0,1
-10,-4,-1,-2,-1,1,0,-34,0,1
1,1,-2,-1,-2,-1,-3,8,0,1
4,-6,-2,-1,-1,-1,-1,10,0,1
-1,3,-3,-1,-1,-2,-4,-8,0,1
1,-3,-2,-1,-1,0,1,-1,0,1
-5,3,4,0,1,-2,-4,-1,0,1
-8,-4,-2,0,-1,-2,0,-18,0,1
10,4,-1,-2,-1,-1,-3,-3,0,1
-1,3,0,-3,-1,0,2,9,0,1
-4,-16,-2,1,0,0,-1,2,0,1
-3,0,0,-3,-1,-2,-3,3,0,1
-1,5,-3,0,-1,1,2,-5,0,1
